fit_power_watt,frequency_Hz
1.176853659960372e-09,155277638.81940973
1.1768543658926168e-09,155677838.91945973
1.1768550760299973e-09,156078039.01950976
1.1768557904059658e-09,156478239.1195598
1.1768565090543216e-09,156878439.21960983
1.1768572320091815e-09,157278639.31965983
1.176857959305033e-09,157678839.41970986
1.1768586909766728e-09,158079039.5197599
1.1768594270592765e-09,158479239.61980993
1.176860167588363e-09,158879439.71985993
1.1768609125998063e-09,159279639.81990996
1.1768616621298473e-09,159679839.91996
1.176862416215088e-09,160080040.02001002
1.17686317489251e-09,160480240.12006003
1.1768639381994714e-09,160880440.22011006
1.176864706173701e-09,161280640.3201601
1.1768654788533172e-09,161680840.42021012
1.1768662562768336e-09,162081040.52026013
1.1768670384831488e-09,162481240.62031016
1.1768678255115711e-09,162881440.7203602
1.1768686174018033e-09,163281640.82041022
1.1768694141939626e-09,163681840.92046025
1.1768702159285852e-09,164082041.02051026
1.176871022646626e-09,164482241.1205603
1.1768718343894446e-09,164882441.22061032
1.1768726511988675e-09,165282641.32066035
1.1768734731171262e-09,165682841.42071036
1.1768743001869042e-09,166083041.5207604
1.1768751324513334e-09,166483241.62081042
1.1768759699539982e-09,166883441.72086045
1.176876812738931e-09,167283641.82091045
1.1768776608506356e-09,167683841.9209605
1.176878514334098e-09,168084042.02101052
1.1768793732347566e-09,168484242.12106055
1.1768802375985412e-09,168884442.22111055
1.1768811074718725e-09,169284642.32116058
1.1768819829016577e-09,169684842.42121062
1.1768828639353195e-09,170085042.52126065
1.1768837506207622e-09,170485242.62131065
1.1768846430064288e-09,170885442.72136068
1.176885541141264e-09,171285642.82141072
1.1768864450747466e-09,171685842.92146075
1.1768873548568903e-09,172086043.02151078
1.1768882705382475e-09,172486243.12156078
1.1768891921699108e-09,172886443.2216108
1.1768901198035454e-09,173286643.32166085
1.176891053491351e-09,173686843.42171088
1.1768919932861154e-09,174087043.52176088
1.1768929392412036e-09,174487243.6218109
1.176893891410559e-09,174887443.72186095
1.176894849848703e-09,175287643.82191098
1.176895814610792e-09,175687843.92196098
1.1768967857525515e-09,176088044.022011
1.1768977633303424e-09,176488244.12206104
1.1768987474011465e-09,176888444.22211108
1.1768997380225822e-09,177288644.32216108
1.1769007352528881e-09,177688844.4222111
1.176901739150978e-09,178089044.52226114
1.1769027497764007e-09,178489244.62231117
1.1769037671893941e-09,178889444.72236118
1.1769047914508464e-09,179289644.8224112
1.1769058226223532e-09,179689844.92246124
1.176906860766185e-09,180090045.02251127
1.1769079059453296e-09,180490245.1225613
1.176908958223468e-09,180890445.2226113
1.1769100176650334e-09,181290645.32266134
1.176911084335166e-09,181690845.42271137
1.1769121582997531e-09,182091045.5227614
1.176913239625443e-09,182491245.6228114
1.17691432837964e-09,182891445.72286144
1.1769154246305186e-09,183291645.82291147
1.1769165284470438e-09,183691845.9229615
1.1769176398989704e-09,184092046.0230115
1.1769187590568619e-09,184492246.12306154
1.176919885992096e-09,184892446.22311157
1.1769210207768838e-09,185292646.3231616
1.1769221634842647e-09,185692846.4232116
1.17692331418814e-09,186093046.52326164
1.1769244729632732e-09,186493246.62331167
1.1769256398853002e-09,186893446.7233617
1.1769268150307421e-09,187293646.8234117
1.1769279984770312e-09,187693846.92346174
1.176929190302495e-09,188094047.02351177
1.1769303905864105e-09,188494247.1235618
1.176931599408969e-09,188894447.22361183
1.1769328168513258e-09,189294647.32366183
1.1769340429956185e-09,189694847.42371187
1.1769352779249289e-09,190095047.5237619
1.176936521723369e-09,190495247.62381193
1.1769377744760295e-09,190895447.72386193
1.176939036269055e-09,191295647.82391196
1.1769403071895877e-09,191695847.923962
1.176941587325868e-09,192096048.02401203
1.176942876767162e-09,192496248.12406203
1.1769441756038532e-09,192896448.22411206
1.1769454839274044e-09,193296648.3241621
1.1769468018303954e-09,193696848.42421213
1.1769481294065433e-09,194097048.52426213
1.1769494667507209e-09,194497248.62431216
1.1769508139589473e-09,194897448.7243622
1.1769521711284362e-09,195297648.82441223
1.1769535383576058e-09,195697848.92446223
1.176954915746083e-09,196098049.02451226
1.1769563033947278e-09,196498249.1245623
1.1769577014056627e-09,196898449.22461233
1.1769591098822905e-09,197298649.32466236
1.176960528929287e-09,197698849.42471236
1.1769619586526562e-09,198099049.5247624
1.176963399159723e-09,198499249.62481242
1.1769648505591695e-09,198899449.72486246
1.1769663129610421e-09,199299649.82491246
1.176967786476798e-09,199699849.9249625
1.1769692712192967e-09,200100050.02501252
1.1769707673028228e-09,200500250.12506256
1.17697227484314e-09,200900450.22511256
1.1769737939574718e-09,201300650.3251626
1.176975324764559e-09,201700850.42521262
1.1769768673846695e-09,202101050.52526265
1.1769784219396074e-09,202501250.62531266
